"time","channel","station","value","g1","g2","g3","g4","g5","g6"
"1","Vertical_up","BK.BKS",-4.22607187267275e-09,2.02469878061222e-12,1.2619773997107e-12,3.42000427247385e-12,4.22895152710541e-12,2.82452019089021e-11,2.36066928276063e-11
"2","Vertical_up","BK.BKS",-5.2352975242519e-09,1.25330852609112e-11,7.72917374523194e-12,2.15015980012641e-11,2.6635557162825e-11,1.77865777330786e-10,1.48656142856884e-10
"3","Vertical_up","BK.BKS",-6.67490194502795e-09,3.86574834676793e-11,2.35679798934786e-11,6.69330306279878e-11,8.36645999197683e-11,5.54227708883095e-10,4.63210825057961e-10
"4","Vertical_up","BK.BKS",-7.97979258239619e-09,8.167487323363e-11,4.91879368251376e-11,1.42267136205807e-10,1.80125643224114e-10,1.1787284274992e-09,9.85154222118381e-10
"5","Vertical_up","BK.BKS",-8.93862131859187e-09,1.35829679258406e-10,8.07364413939873e-11,2.3766349531603e-10,3.05467551105663e-10,1.9691995776689e-09,1.645811904486e-09
"6","Vertical_up","BK.BKS",-9.05651887945644e-09,1.90422280885023e-10,1.11500437998029e-10,3.35166248920695e-10,4.37586589751074e-10,2.77454426507172e-09,2.3189005486097e-09
"7","Vertical_up","BK.BKS",-8.72288412396139e-09,2.32854078374408e-10,1.33839976202085e-10,4.1336541512011e-10,5.48989249641449e-10,3.41294580593469e-09,2.85246193451974e-09
"8","Vertical_up","BK.BKS",-6.54801845726784e-09,2.50013341342906e-10,1.39976166445203e-10,4.51661067858479e-10,6.10107295369095e-10,3.70918383824788e-09,3.10005089689384e-09
"9","Vertical_up","BK.BKS",4.63107117696327e-09,2.70988980414908e-10,1.50824420567818e-10,4.36798708535428e-10,6.66259149925301e-10,3.48902336909196e-09,2.91604581932675e-09
"10","Vertical_up","BK.BKS",2.75345594423826e-08,4.96165438902932e-10,2.99366549698746e-10,3.49394407248297e-10,1.09116249245431e-09,2.52881079955263e-09,2.11352214640596e-09
"11","Vertical_up","BK.BKS",5.46707882351608e-08,1.24402889204305e-09,7.82162254437774e-10,4.55438924422871e-11,2.56084550837059e-09,7.20490578342134e-10,6.02169523268538e-10
"12","Vertical_up","BK.BKS",7.25559006283255e-08,2.44614198386684e-09,1.51358709371846e-09,-7.45823918851501e-10,5.17060295614268e-09,-1.6657467900157e-09,-1.39219301484541e-09
"13","Vertical_up","BK.BKS",7.49114739676283e-08,3.20381330313875e-09,1.85666165633257e-09,-1.86983661093139e-09,7.46935795515499e-09,-4.37673008362962e-09,-3.65797075931061e-09
"14","Vertical_up","BK.BKS",6.41598943297557e-08,2.08817370408743e-09,8.76139743952081e-10,-2.24730792883059e-09,6.72019035386108e-09,-8.05846835692336e-09,-6.73508328162875e-09
"15","Vertical_up","BK.BKS",4.94212217990861e-08,-2.04287026488715e-09,-2.08833556253806e-09,-5.90673044489788e-10,2.52084895933913e-10,-1.43223592011912e-08,-1.19702997811675e-08
"16","Vertical_up","BK.BKS",1.33823575795933e-08,-9.10864576946083e-09,-6.81681172031272e-09,2.65283711414989e-09,-1.27072025836765e-08,-2.40526841357077e-08,-2.01026824981604e-08
"17","Vertical_up","BK.BKS",-1.06935554591491e-07,-1.70635143014996e-08,-1.17743171228621e-08,4.17526688238934e-09,-2.93262507723625e-08,-3.36395505555144e-08,-2.81151658743313e-08
"18","Vertical_up","BK.BKS",-3.54712251427752e-07,-2.28388088540087e-08,-1.48406148961809e-08,1.31824405174638e-09,-4.43464355385739e-08,-3.31284505308036e-08,-2.76880001799085e-08
"19","Vertical_up","BK.BKS",-6.73653836196313e-07,-2.45740801185492e-08,-1.48600945559709e-08,-2.92649468039396e-09,-5.38597384415659e-08,-1.47016375148175e-08,-1.22872919087092e-08
"20","Vertical_up","BK.BKS",-9.44633352311876e-07,-2.16081482440367e-08,-1.15743650726553e-08,-3.34686777666887e-09,-5.56328742418418e-08,1.5770841535371e-08,1.31809081400484e-08
"21","Vertical_up","BK.BKS",-1.05401855748912e-06,-1.31225867806479e-08,-4.65277417926196e-09,8.46156967733375e-11,-4.69613515915751e-08,4.3696094037988e-08,3.65201945819999e-08
"22","Vertical_up","BK.BKS",-9.46902621020126e-07,8.94806183216608e-10,5.64632725200264e-09,3.57471119597064e-09,-2.63450753880345e-08,5.99563102705481e-08,5.01101108853253e-08
"23","Vertical_up","BK.BKS",-6.09610466057113e-07,1.8353719812256e-08,1.76376326219159e-08,5.1010265565515e-09,3.97038563878973e-09,6.33737573019379e-08,5.29663348409844e-08
"24","Vertical_up","BK.BKS",-6.0934681598932e-08,3.59643053614793e-08,2.89152051207833e-08,4.86346845734352e-09,3.9084132127482e-08,5.53856528246324e-08,4.62900600783266e-08
"25","Vertical_up","BK.BKS",6.15327333335929e-07,5.06211734932336e-08,3.73439966576983e-08,3.21860502180821e-09,7.36160525458453e-08,3.8084084242476e-08,3.18298053323336e-08
"26","Vertical_up","BK.BKS",1.31443539170005e-06,5.99540662965397e-08,4.14276835166209e-08,1.93066064190977e-10,1.02720569674175e-07,1.44746062476844e-08,1.20975443755614e-08
"27","Vertical_up","BK.BKS",1.93300787831738e-06,6.24468492940645e-08,4.03588880575886e-08,-3.99039044462143e-09,1.22467941427357e-07,-1.17716419867202e-08,-9.83846875491705e-09
"28","Vertical_up","BK.BKS",2.37239589986194e-06,5.74688863689967e-08,3.4004875921629e-08,-8.64102742038013e-09,1.3009752354933e-07,-3.68662242842084e-08,-3.08119458730673e-08
"29","Vertical_up","BK.BKS",2.55010574529844e-06,4.52889165603718e-08,2.28807561478597e-08,-1.28284498575048e-08,1.24243303739707e-07,-5.74360744330816e-08,-4.80037554958301e-08
"30","Vertical_up","BK.BKS",2.42773340868527e-06,2.70361515457114e-08,8.08525202474025e-09,-1.57045816961505e-08,1.0507432658372e-07,-7.09346435336278e-08,-5.92855503789596e-08
"31","Vertical_up","BK.BKS",2.02101741901054e-06,4.55537336773155e-09,-8.83571618922588e-09,-1.66539584773092e-08,7.42476480265504e-08,-7.58651356710121e-08,-6.34063427794372e-08
"32","Vertical_up","BK.BKS",1.37072921815039e-06,-1.98334181918769e-08,-2.60856316887114e-08,-1.53505899524267e-08,3.46657488268855e-08,-7.18390960581302e-08,-6.00414710833661e-08
"33","Vertical_up","BK.BKS",5.36358366264835e-07,-4.36158423679703e-08,-4.18322172098558e-08,-1.1793710814937e-08,-9.88940984881851e-09,-5.95185611364096e-08,-4.97442501852146e-08
"34","Vertical_up","BK.BKS",-3.95415207549254e-07,-6.43617190736551e-08,-5.44092313073714e-08,-6.2978595842208e-09,-5.51821273031259e-08,-4.04629595708117e-08,-3.38180148460172e-08
"35","Vertical_up","BK.BKS",-1.31950486677516e-06,-7.99788320101777e-08,-6.24894781659581e-08,5.65893692843545e-10,-9.69707045057245e-08,-1.68924652375117e-08,-1.41183355406383e-08
"36","Vertical_up","BK.BKS",-2.13974942862685e-06,-8.89216496518816e-08,-6.52159172806316e-08,8.05807690387954e-09,-1.31437764330215e-07,8.60094730416928e-09,7.18847476080389e-09
"37","Vertical_up","BK.BKS",-2.79201435037953e-06,-9.03336556056632e-08,-6.22778594927788e-08,1.53734650156318e-08,-1.5555693702398e-07,3.3350344971651e-08,2.78734544713004e-08
"38","Vertical_up","BK.BKS",-3.22028155154411e-06,-8.41082379714784e-08,-5.39244037877956e-08,2.17373195007386e-08,-1.67355963607717e-07,5.48913799070215e-08,4.58769580946099e-08
"39","Vertical_up","BK.BKS",-3.38123490059209e-06,-7.08661735070353e-08,-4.09170962867993e-08,2.64830520455156e-08,-1.66054340441084e-07,7.12038874512789e-08,5.95105782785721e-08
"40","Vertical_up","BK.BKS",-3.25522739102036e-06,-5.18603740312401e-08,-2.44328454008981e-08,2.91114598324578e-08,-1.52073472686599e-07,8.0891894616857e-08,6.7607592773532e-08
"41","Vertical_up","BK.BKS",-2.85520750820158e-06,-2.88248663226654e-08,-5.93199504296148e-09,2.9330498248033e-08,-1.2693081036184e-07,8.32782694469323e-08,6.9602070199001e-08
"42","Vertical_up","BK.BKS",-2.21866741669964e-06,-3.78762675077878e-09,1.29925127904744e-08,2.70767814240943e-08,-9.30384259769258e-08,7.8412494731327e-08,6.55353671373591e-08
"43","Vertical_up","BK.BKS",-1.41366099848125e-06,2.11311469194659e-08,3.07683779775941e-08,2.25192067142869e-08,-5.34341687814847e-08,6.70088435758877e-08,5.60044566907678e-08
"44","Vertical_up","BK.BKS",-5.28358699497029e-07,4.39148008676815e-08,4.59846876451841e-08,1.60394486794313e-08,-1.14766034725658e-08,5.03341857153554e-08,4.20681595671507e-08
"45","Vertical_up","BK.BKS",3.54408789633449e-07,6.28231589231857e-08,5.75086241790332e-08,8.18902123189292e-09,2.94667363271943e-08,3.00585372692917e-08,2.51222369892029e-08
"46","Vertical_up","BK.BKS",1.16745283579754e-06,7.65289685692436e-08,6.45694845203433e-08,-3.69244753642767e-10,6.63100308951743e-08,8.07950505899758e-09,6.75266527539794e-09
"47","Vertical_up","BK.BKS",1.85644394685254e-06,8.42078360495162e-08,6.68045132569641e-08,-8.92679815265692e-09,9.64937005086713e-08,-1.36642043750218e-08,-1.14202290518274e-08
"48","Vertical_up","BK.BKS",2.38251635445891e-06,8.55771911995079e-08,6.42653786130459e-08,-1.67951904952486e-08,1.18164541652648e-07,-3.33713380273236e-08,-2.78909999864068e-08
"49","Vertical_up","BK.BKS",2.71191889409611e-06,8.08853282128932e-08,5.73881051838787e-08,-2.336670817021e-08,1.30281672573327e-07,-4.95320604887404e-08,-4.1397761674615e-08
"50","Vertical_up","BK.BKS",2.82361958651847e-06,7.08554699789661e-08,4.69319623381627e-08,-2.81653793851999e-08,1.32645231541446e-07,-6.10442417297792e-08,-5.10193790809782e-08
"51","Vertical_up","BK.BKS",2.72435651281472e-06,5.65927207325287e-08,3.38946840835642e-08,-3.08833516013982e-08,1.25850538810747e-07,-6.72816516048416e-08,-5.62324633929748e-08
"52","Vertical_up","BK.BKS",2.4436060788626e-06,3.94643185347976e-08,1.94128477031615e-08,-3.13988220624033e-08,1.11176506018396e-07,-6.81104705824097e-08,-5.69251713111637e-08
"53","Vertical_up","BK.BKS",2.01752654481957e-06,2.09654520789991e-08,4.65705740452732e-09,-2.97748378446823e-08,9.04228100721752e-08,-6.38593192828625e-08,-5.33721564233339e-08
"54","Vertical_up","BK.BKS",1.48596095290559e-06,2.58369824452578e-09,-9.26837949176772e-09,-2.62405915740434e-08,6.57145105635136e-08,-5.52525985161035e-08,-4.61788563347329e-08
"55","Vertical_up","BK.BKS",8.94821669833172e-07,-1.43250039804822e-08,-2.1412191513943e-08,-2.11595743607169e-08,3.92953092610125e-08,-4.33173731985357e-08,-3.62036683786045e-08
"56","Vertical_up","BK.BKS",2.95456995605775e-07,-2.86377109552093e-08,-3.10419617980431e-08,-1.49909632434024e-08,1.3330503809043e-08,-2.92732591152509e-08,-2.44659194940595e-08
"57","Vertical_up","BK.BKS",-2.62433548566383e-07,-3.95360178662321e-08,-3.76849250285843e-08,-8.24863404204943e-09,-1.02634881866449e-08,-1.44142372649394e-08,-1.20470893624738e-08
"58","Vertical_up","BK.BKS",-7.3126792715445e-07,-4.65453829446376e-08,-4.11432268936684e-08,-1.45859113460423e-09,-2.99525575832229e-08,8.77992799656946e-12,7.33806272413977e-12
"59","Vertical_up","BK.BKS",-1.07696942199813e-06,-4.95433101850709e-08,-4.14856893096534e-08,4.88497109591138e-09,-4.46759314202744e-08,1.28944004375601e-08,1.07768445524795e-08
"60","Vertical_up","BK.BKS",-1.29496766530395e-06,-4.87388412397842e-08,-3.9019116348856e-08,1.03614443206329e-08,-5.38915604698939e-08,2.33743088332954e-08,1.95357119579061e-08
"61","Vertical_up","BK.BKS",-1.39945751069307e-06,-4.46260777180018e-08,-3.42422947987192e-08,1.46562345270946e-08,-5.75734674983512e-08,3.08647876164274e-08,2.57960825629882e-08
"62","Vertical_up","BK.BKS",-1.40184480181282e-06,-3.79159400980919e-08,-2.77867083345412e-08,1.7577498741631e-08,-5.61620943210502e-08,3.50855002203752e-08,2.93236574862036e-08
"63","Vertical_up","BK.BKS",-1.31373360183695e-06,-2.94538217971456e-08,-2.03501392771846e-08,1.90569195373182e-08,-5.04758789501446e-08,3.60522319074035e-08,3.01316296882079e-08
